ORD_NO,SKU_CD,NUM_PCS,LOC,CART_NO,SEQ
ORD_0053,SKU_0170,1,WP_0076,14,9
ORD_0053,SKU_0200,1,WP_0076,14,10
ORD_0055,SKU_0170,1,WP_0076,14,11
ORD_0054,SKU_0335,1,WP_0098,14,12
ORD_0055,SKU_0008,1,WP_0146,14,13
ORD_0056,SKU_0159,1,WP_0158,14,14
ORD_0059,SKU_0137,1,WP_0030,15,1
ORD_0057,SKU_0158,1,WP_0039,15,2
ORD_0057,SKU_0115,1,WP_0039,15,3
ORD_0059,SKU_0084,1,WP_0082,15,4
ORD_0059,SKU_0034,1,WP_0082,15,5
ORD_0057,SKU_0177,1,WP_0084,15,6
ORD_0059,SKU_0165,1,WP_0084,15,7
ORD_0058,SKU_0201,1,WP_0107,15,8
ORD_0058,SKU_0179,1,WP_0121,15,9
ORD_0060,SKU_0306,1,WP_0134,15,10
ORD_0057,SKU_0038,1,WP_0148,15,11
ORD_0059,SKU_0157,1,WP_0162,15,12
ORD_0063,SKU_0288,1,WP_0005,16,1
ORD_0063,SKU_0101,1,WP_0048,16,2
ORD_0062,SKU_0304,1,WP_0103,16,3
ORD_0063,SKU_0217,1,WP_0118,16,4
ORD_0063,SKU_0273,1,WP_0118,16,5
ORD_0063,SKU_0073,1,WP_0123,16,6
ORD_0062,SKU_0063,1,WP_0138,16,7
ORD_0064,SKU_0231,1,WP_0158,16,8
ORD_0061,SKU_0039,1,WP_0165,16,9
ORD_0068,SKU_0195,1,WP_0020,17,1
ORD_0065,SKU_0124,1,WP_0113,17,2
ORD_0066,SKU_0252,1,WP_0121,17,3
ORD_0066,SKU_0179,1,WP_0121,17,4
ORD_0068,SKU_0203,1,WP_0122,17,5
ORD_0065,SKU_0249,1,WP_0141,17,6
ORD_0067,SKU_0329,1,WP_0162,17,7
ORD_0067,SKU_0212,1,WP_0167,17,8
ORD_0071,SKU_0136,1,WP_0004,18,1
ORD_0070,SKU_0143,1,WP_0010,18,2
ORD_0070,SKU_0106,1,WP_0019,18,3
ORD_0070,SKU_0043,1,WP_0019,18,4
ORD_0072,SKU_0011,1,WP_0029,18,5
ORD_0071,SKU_0137,1,WP_0030,18,6
ORD_0071,SKU_0283,1,WP_0030,18,7
ORD_0069,SKU_0187,1,WP_0072,18,8
ORD_0069,SKU_0281,1,WP_0072,18,9
ORD_0070,SKU_0200,1,WP_0076,18,10
ORD_0072,SKU_0040,1,WP_0077,18,11
ORD_0070,SKU_0232,1,WP_0093,18,12
ORD_0071,SKU_0171,1,WP_0152,18,13
ORD_0075,SKU_0016,1,WP_0003,19,1
ORD_0074,SKU_0117,1,WP_0008,19,2
ORD_0073,SKU_0099,1,WP_0016,19,3
ORD_0074,SKU_0220,1,WP_0018,19,4
ORD_0076,SKU_0195,1,WP_0020,19,5
ORD_0075,SKU_0127,1,WP_0025,19,6
ORD_0073,SKU_0271,1,WP_0027,19,7
ORD_0076,SKU_0032,1,WP_0037,19,8
ORD_0074,SKU_0254,1,WP_0047,19,9
ORD_0075,SKU_0121,1,WP_0077,19,10
ORD_0074,SKU_0084,1,WP_0082,19,11
ORD_0076,SKU_0111,1,WP_0085,19,12
ORD_0075,SKU_0026,1,WP_0096,19,13
ORD_0073,SKU_0122,1,WP_0115,19,14
ORD_0075,SKU_0240,1,WP_0164,19,15
ORD_0078,SKU_0098,1,WP_0006,20,1
ORD_0080,SKU_0299,1,WP_0010,20,2
ORD_0078,SKU_0274,1,WP_0016,20,3
ORD_0078,SKU_0246,1,WP_0024,20,4
ORD_0077,SKU_0230,1,WP_0051,20,5
ORD_0077,SKU_0208,1,WP_0051,20,6
ORD_0078,SKU_0309,1,WP_0064,20,7
ORD_0080,SKU_0309,1,WP_0064,20,8
ORD_0079,SKU_0298,1,WP_0067,20,9
ORD_0079,SKU_0215,1,WP_0068,20,10
ORD_0079,SKU_0142,1,WP_0068,20,11
ORD_0077,SKU_0113,1,WP_0079,20,12
ORD_0080,SKU_0276,1,WP_0090,20,13
ORD_0079,SKU_0161,1,WP_0120,20,14
ORD_0078,SKU_0284,1,WP_0135,20,15
ORD_0082,SKU_0189,1,WP_0023,21,1
ORD_0082,SKU_0258,1,WP_0026,21,2
ORD_0081,SKU_0224,1,WP_0057,21,3
ORD_0082,SKU_0129,1,WP_0078,21,4
ORD_0082,SKU_0116,1,WP_0080,21,5
ORD_0081,SKU_0037,1,WP_0132,21,6
ORD_0081,SKU_0221,1,WP_0132,21,7
ORD_0082,SKU_0306,1,WP_0134,21,8
ORD_0084,SKU_0223,1,WP_0136,21,9
ORD_0081,SKU_0009,1,WP_0149,21,10
ORD_0083,SKU_0321,1,WP_0160,21,11
ORD_0081,SKU_0033,1,WP_0165,21,12
ORD_0087,SKU_0136,1,WP_0004,22,1
ORD_0087,SKU_0044,1,WP_0004,22,2
ORD_0085,SKU_0253,1,WP_0007,22,3
ORD_0086,SKU_0106,1,WP_0019,22,4
ORD_0087,SKU_0028,1,WP_0041,22,5
ORD_0086,SKU_0316,1,WP_0044,22,6
ORD_0085,SKU_0120,1,WP_0060,22,7
ORD_0086,SKU_0120,1,WP_0060,22,8
ORD_0085,SKU_0176,1,WP_0063,22,9
ORD_0086,SKU_0236,1,WP_0095,22,10
ORD_0088,SKU_0046,1,WP_0154,22,11
ORD_0085,SKU_0159,1,WP_0158,22,12
ORD_0089,SKU_0053,1,WP_0008,23,1
ORD_0090,SKU_0219,1,WP_0021,23,2
ORD_0090,SKU_0307,1,WP_0021,23,3
ORD_0090,SKU_0317,1,WP_0031,23,4
ORD_0091,SKU_0156,1,WP_0036,23,5
ORD_0091,SKU_0275,1,WP_0040,23,6
ORD_0089,SKU_0209,1,WP_0041,23,7
ORD_0091,SKU_0013,1,WP_0056,23,8
ORD_0091,SKU_0272,1,WP_0061,23,9
ORD_0090,SKU_0077,1,WP_0088,23,10
ORD_0089,SKU_0222,1,WP_0090,23,11
ORD_0091,SKU_0333,1,WP_0103,23,12
ORD_0089,SKU_0056,1,WP_0124,23,13
ORD_0089,SKU_0269,1,WP_0124,23,14
ORD_0090,SKU_0126,1,WP_0134,23,15
ORD_0092,SKU_0022,1,WP_0155,23,16
ORD_0095,SKU_0136,1,WP_0004,24,1
ORD_0094,SKU_0180,1,WP_0009,24,2
ORD_0094,SKU_0195,1,WP_0020,24,3
ORD_0095,SKU_0300,1,WP_0031,24,4
ORD_0094,SKU_0021,1,WP_0033,24,5
ORD_0095,SKU_0123,1,WP_0036,24,6
ORD_0094,SKU_0185,1,WP_0046,24,7
ORD_0096,SKU_0333,1,WP_0103,24,8
ORD_0096,SKU_0304,1,WP_0103,24,9
ORD_0096,SKU_0112,1,WP_0106,24,10
ORD_0096,SKU_0122,1,WP_0115,24,11
ORD_0093,SKU_0332,1,WP_0142,24,12
ORD_0095,SKU_0164,1,WP_0143,24,13
ORD_0099,SKU_0307,1,WP_0021,25,1
ORD_0099,SKU_0219,1,WP_0021,25,2
ORD_0100,SKU_0067,1,WP_0037,25,3
ORD_0098,SKU_0100,1,WP_0050,25,4
ORD_0100,SKU_0224,1,WP_0057,25,5
ORD_0098,SKU_0243,1,WP_0094,25,6
ORD_0097,SKU_0132,1,WP_0105,25,7
ORD_0097,SKU_0081,1,WP_0107,25,8
ORD_0098,SKU_0273,1,WP_0118,25,9
ORD_0099,SKU_0178,1,WP_0133,25,10
ORD_0097,SKU_0306,1,WP_0134,25,11
ORD_0099,SKU_0149,1,WP_0137,25,12
ORD_0097,SKU_0065,1,WP_0140,25,13
ORD_0100,SKU_0290,1,WP_0164,25,14
ORD_0102,SKU_0025,1,WP_0011,26,1
ORD_0103,SKU_0080,1,WP_0029,26,2
ORD_0104,SKU_0115,1,WP_0039,26,3
ORD_0103,SKU_0027,1,WP_0055,26,4
ORD_0101,SKU_0041,1,WP_0073,26,5
ORD_0104,SKU_0325,1,WP_0080,26,6
ORD_0102,SKU_0266,1,WP_0119,26,7
ORD_0104,SKU_0038,1,WP_0148,26,8
ORD_0103,SKU_0009,1,WP_0149,26,9
ORD_0105,SKU_0280,1,WP_0007,27,1
ORD_0105,SKU_0253,1,WP_0007,27,2
ORD_0105,SKU_0253,1,WP_0007,27,3
ORD_0106,SKU_0283,1,WP_0030,27,4
ORD_0105,SKU_0300,1,WP_0031,27,5
ORD_0105,SKU_0317,1,WP_0031,27,6
ORD_0107,SKU_0141,1,WP_0040,27,7
ORD_0106,SKU_0163,1,WP_0057,27,8
ORD_0106,SKU_0197,1,WP_0083,27,9
ORD_0108,SKU_0001,1,WP_0157,27,10
ORD_0109,SKU_0098,1,WP_0006,28,1
ORD_0111,SKU_0336,1,WP_0023,28,2
ORD_0111,SKU_0189,1,WP_0023,28,3
ORD_0112,SKU_0138,1,WP_0034,28,4
ORD_0109,SKU_0119,1,WP_0046,28,5
ORD_0112,SKU_0036,1,WP_0054,28,6
ORD_0110,SKU_0142,1,WP_0068,28,7
ORD_0112,SKU_0076,1,WP_0070,28,8
ORD_0110,SKU_0314,1,WP_0120,28,9
ORD_0109,SKU_0073,1,WP_0123,28,10
ORD_0112,SKU_0174,1,WP_0131,28,11
ORD_0109,SKU_0188,1,WP_0137,28,12
ORD_0110,SKU_0095,1,WP_0144,28,13
ORD_0111,SKU_0323,1,WP_0160,28,14
ORD_0115,SKU_0302,1,WP_0013,29,1
ORD_0115,SKU_0237,1,WP_0013,29,2
ORD_0115,SKU_0230,1,WP_0051,29,3
ORD_0116,SKU_0294,1,WP_0058,29,4
ORD_0113,SKU_0276,1,WP_0090,29,5
ORD_0113,SKU_0276,1,WP_0090,29,6
ORD_0114,SKU_0019,1,WP_0119,29,7
ORD_0115,SKU_0250,1,WP_0144,29,8
ORD_0115,SKU_0083,1,WP_0159,29,9
ORD_0118,SKU_0136,1,WP_0004,30,1
ORD_0120,SKU_0136,1,WP_0004,30,2
ORD_0118,SKU_0292,1,WP_0018,30,3
ORD_0120,SKU_0265,1,WP_0032,30,4
ORD_0119,SKU_0045,1,WP_0038,30,5
ORD_0120,SKU_0115,1,WP_0039,30,6
ORD_0118,SKU_0210,1,WP_0055,30,7
ORD_0120,SKU_0130,1,WP_0067,30,8
ORD_0119,SKU_0215,1,WP_0068,30,9
ORD_0117,SKU_0207,1,WP_0116,30,10
ORD_0120,SKU_0213,1,WP_0117,30,11
ORD_0119,SKU_0225,1,WP_0122,30,12
ORD_0119,SKU_0203,1,WP_0122,30,13
ORD_0123,SKU_0006,1,WP_0001,31,1
ORD_0124,SKU_0279,1,WP_0011,31,2
ORD_0124,SKU_0018,1,WP_0014,31,3
ORD_0123,SKU_0139,1,WP_0022,31,4
ORD_0121,SKU_0166,1,WP_0028,31,5
ORD_0121,SKU_0029,1,WP_0034,31,6
ORD_0122,SKU_0310,1,WP_0048,31,7
ORD_0122,SKU_0272,1,WP_0061,31,8
ORD_0122,SKU_0293,1,WP_0066,31,9
ORD_0122,SKU_0319,1,WP_0066,31,10
ORD_0122,SKU_0187,1,WP_0072,31,11
ORD_0123,SKU_0324,1,WP_0074,31,12
ORD_0121,SKU_0078,1,WP_0099,31,13
ORD_0123,SKU_0270,1,WP_0136,31,14
ORD_0124,SKU_0270,1,WP_0136,31,15
ORD_0124,SKU_0223,1,WP_0136,31,16
ORD_0121,SKU_0290,1,WP_0164,31,17
ORD_0127,SKU_0279,1,WP_0011,32,1
ORD_0126,SKU_0062,1,WP_0028,32,2
ORD_0128,SKU_0045,1,WP_0038,32,3
ORD_0128,SKU_0183,1,WP_0038,32,4
ORD_0125,SKU_0178,1,WP_0133,32,5
ORD_0125,SKU_0194,1,WP_0139,32,6
ORD_0127,SKU_0323,1,WP_0160,32,7
ORD_0126,SKU_0320,1,WP_0166,32,8
ORD_0132,SKU_0189,1,WP_0023,33,1
ORD_0132,SKU_0032,1,WP_0037,33,2
ORD_0129,SKU_0015,1,WP_0049,33,3
ORD_0131,SKU_0015,1,WP_0049,33,4
ORD_0130,SKU_0191,1,WP_0052,33,5
ORD_0132,SKU_0191,1,WP_0052,33,6
ORD_0130,SKU_0298,1,WP_0067,33,7
ORD_0130,SKU_0130,1,WP_0067,33,8
ORD_0132,SKU_0200,1,WP_0076,33,9
ORD_0132,SKU_0133,1,WP_0112,33,10
ORD_0130,SKU_0225,1,WP_0122,33,11
ORD_0131,SKU_0003,1,WP_0128,33,12
ORD_0130,SKU_0065,1,WP_0140,33,13
ORD_0134,SKU_0016,1,WP_0003,34,1
ORD_0134,SKU_0032,1,WP_0037,34,2
ORD_0136,SKU_0032,1,WP_0037,34,3
ORD_0133,SKU_0020,1,WP_0063,34,4
ORD_0133,SKU_0129,1,WP_0078,34,5
ORD_0134,SKU_0197,1,WP_0083,34,6
ORD_0136,SKU_0222,1,WP_0090,34,7
ORD_0136,SKU_0276,1,WP_0090,34,8
ORD_0134,SKU_0328,1,WP_0142,34,9
ORD_0135,SKU_0245,1,WP_0154,34,10
ORD_0140,SKU_0110,1,WP_0017,35,1
ORD_0140,SKU_0214,1,WP_0071,35,2
ORD_0140,SKU_0276,1,WP_0090,35,3
ORD_0137,SKU_0335,1,WP_0098,35,4
ORD_0139,SKU_0314,1,WP_0120,35,5
ORD_0138,SKU_0287,1,WP_0141,35,6
ORD_0142,SKU_0251,1,WP_0003,36,1
ORD_0143,SKU_0288,1,WP_0005,36,2
ORD_0142,SKU_0210,1,WP_0055,36,3
ORD_0143,SKU_0079,1,WP_0074,36,4
ORD_0143,SKU_0324,1,WP_0074,36,5
ORD_0141,SKU_0132,1,WP_0105,36,6
ORD_0142,SKU_0081,1,WP_0107,36,7
ORD_0141,SKU_0069,1,WP_0135,36,8
ORD_0143,SKU_0154,1,WP_0150,36,9
ORD_0144,SKU_0105,1,WP_0157,36,10
ORD_0141,SKU_0010,1,WP_0163,36,11
ORD_0147,SKU_0071,1,WP_0020,37,1
ORD_0147,SKU_0195,1,WP_0020,37,2
ORD_0145,SKU_0011,1,WP_0029,37,3
ORD_0147,SKU_0119,1,WP_0046,37,4
ORD_0147,SKU_0184,1,WP_0062,37,5
ORD_0147,SKU_0090,1,WP_0062,37,6
ORD_0148,SKU_0026,1,WP_0096,37,7
ORD_0145,SKU_0326,1,WP_0104,37,8
ORD_0146,SKU_0152,1,WP_0110,37,9
ORD_0146,SKU_0024,1,WP_0110,37,10
ORD_0145,SKU_0087,1,WP_0112,37,11
ORD_0150,SKU_0280,1,WP_0007,38,1
ORD_0149,SKU_0053,1,WP_0008,38,2
ORD_0151,SKU_0117,1,WP_0008,38,3
ORD_0152,SKU_0117,1,WP_0008,38,4
ORD_0149,SKU_0071,1,WP_0020,38,5
ORD_0150,SKU_0275,1,WP_0040,38,6
ORD_0151,SKU_0028,1,WP_0041,38,7
ORD_0150,SKU_0282,1,WP_0049,38,8
ORD_0150,SKU_0015,1,WP_0049,38,9
ORD_0151,SKU_0272,1,WP_0061,38,10
ORD_0151,SKU_0318,1,WP_0061,38,11
ORD_0150,SKU_0331,1,WP_0075,38,12
ORD_0152,SKU_0104,1,WP_0081,38,13
ORD_0151,SKU_0196,1,WP_0087,38,14
ORD_0152,SKU_0232,1,WP_0093,38,15
ORD_0149,SKU_0201,1,WP_0107,38,16
ORD_0149,SKU_0081,1,WP_0107,38,17
ORD_0152,SKU_0239,1,WP_0108,38,18
ORD_0149,SKU_0241,1,WP_0125,38,19
ORD_0152,SKU_0267,1,WP_0129,38,20
ORD_0154,SKU_0253,1,WP_0007,39,1
ORD_0153,SKU_0062,1,WP_0028,39,2
ORD_0153,SKU_0166,1,WP_0028,39,3
ORD_0154,SKU_0066,1,WP_0035,39,4
ORD_0154,SKU_0048,1,WP_0035,39,5
ORD_0154,SKU_0058,1,WP_0043,39,6
ORD_0155,SKU_0111,1,WP_0085,39,7
ORD_0153,SKU_0161,1,WP_0120,39,8
ORD_0153,SKU_0263,1,WP_0129,39,9
ORD_0155,SKU_0057,1,WP_0130,39,10
ORD_0156,SKU_0052,1,WP_0166,39,11
ORD_0160,SKU_0098,1,WP_0006,40,1
ORD_0160,SKU_0253,1,WP_0007,40,2
ORD_0159,SKU_0228,1,WP_0012,40,3
ORD_0158,SKU_0195,1,WP_0020,40,4
ORD_0159,SKU_0101,1,WP_0048,40,5
ORD_0160,SKU_0100,1,WP_0050,40,6
ORD_0157,SKU_0103,1,WP_0056,40,7
ORD_0160,SKU_0061,1,WP_0064,40,8
ORD_0158,SKU_0104,1,WP_0081,40,9
ORD_0158,SKU_0257,1,WP_0088,40,10
ORD_0158,SKU_0222,1,WP_0090,40,11
ORD_0158,SKU_0334,1,WP_0091,40,12
ORD_0157,SKU_0322,1,WP_0128,40,13
ORD_0159,SKU_0159,1,WP_0158,40,14
ORD_0159,SKU_0231,1,WP_0158,40,15
ORD_0161,SKU_0219,1,WP_0021,41,1
ORD_0162,SKU_0285,1,WP_0045,41,2
ORD_0161,SKU_0216,1,WP_0060,41,3
ORD_0164,SKU_0061,1,WP_0064,41,4
ORD_0164,SKU_0121,1,WP_0077,41,5
ORD_0162,SKU_0108,1,WP_0086,41,6
ORD_0162,SKU_0175,1,WP_0089,41,7
ORD_0164,SKU_0102,1,WP_0098,41,8
ORD_0164,SKU_0238,1,WP_0102,41,9
ORD_0161,SKU_0186,1,WP_0116,41,10
ORD_0163,SKU_0273,1,WP_0118,41,11
ORD_0161,SKU_0019,1,WP_0119,41,12
ORD_0163,SKU_0160,1,WP_0127,41,13
ORD_0168,SKU_0106,1,WP_0019,42,1
ORD_0167,SKU_0139,1,WP_0022,42,2
ORD_0167,SKU_0007,1,WP_0024,42,3
ORD_0167,SKU_0151,1,WP_0047,42,4
ORD_0167,SKU_0254,1,WP_0047,42,5
ORD_0167,SKU_0293,1,WP_0066,42,6
ORD_0166,SKU_0034,1,WP_0082,42,7
ORD_0168,SKU_0077,1,WP_0088,42,8
ORD_0168,SKU_0161,1,WP_0120,42,9
ORD_0168,SKU_0056,1,WP_0124,42,10
ORD_0165,SKU_0064,1,WP_0156,42,11
ORD_0172,SKU_0044,1,WP_0004,43,1
ORD_0170,SKU_0098,1,WP_0006,43,2
ORD_0171,SKU_0117,1,WP_0008,43,3
ORD_0170,SKU_0299,1,WP_0010,43,4
ORD_0169,SKU_0307,1,WP_0021,43,5
ORD_0170,SKU_0258,1,WP_0026,43,6
ORD_0171,SKU_0045,1,WP_0038,43,7
ORD_0169,SKU_0293,1,WP_0066,43,8
ORD_0172,SKU_0017,1,WP_0075,43,9
ORD_0171,SKU_0325,1,WP_0080,43,10
ORD_0170,SKU_0026,1,WP_0096,43,11
ORD_0169,SKU_0133,1,WP_0112,43,12
ORD_0170,SKU_0167,1,WP_0156,43,13
ORD_0171,SKU_0107,1,WP_0161,43,14
ORD_0169,SKU_0240,1,WP_0164,43,15
ORD_0174,SKU_0068,1,WP_0033,44,1
ORD_0175,SKU_0138,1,WP_0034,44,2
ORD_0176,SKU_0027,1,WP_0055,44,3
ORD_0175,SKU_0034,1,WP_0082,44,4
ORD_0174,SKU_0128,1,WP_0097,44,5
ORD_0174,SKU_0234,1,WP_0097,44,6
ORD_0173,SKU_0114,1,WP_0105,44,7
ORD_0175,SKU_0226,1,WP_0109,44,8
ORD_0175,SKU_0173,1,WP_0109,44,9
ORD_0175,SKU_0250,1,WP_0144,44,10
ORD_0173,SKU_0038,1,WP_0148,44,11
ORD_0173,SKU_0014,1,WP_0148,44,12
ORD_0176,SKU_0009,1,WP_0149,44,13
ORD_0174,SKU_0083,1,WP_0159,44,14
ORD_0178,SKU_0260,1,WP_0009,45,1
